src,sport,dst,dport,cwnd,bw,mrtt,pacing_gain,cwnd_gain,time,id
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.8360000000000127,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.8479999999999563,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.895999999999958,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.9049999999999727,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.91800000000012,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.9270000000001346,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.939000000000078,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.9529999999999745,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,2.9980000000000473,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.009999999999991,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.0160000000000764,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.025000000000091,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.033000000000129,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.038000000000011,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.09699999999998,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.1059999999999945,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.115000000000009,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.1310000000000855,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.1420000000000528,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.1510000000000673,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.201999999999998,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.2150000000001455,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.2280000000000655,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.2409999999999854,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.300999999999931,1
10.0.0.5,58419,10.1.0.11,51230,1006,64599999.99999999,0.080028,1.25,2,3.310999999999922,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.326999999999998,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.3360000000000127,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.3510000000001128,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.4039999999999964,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.4220000000000255,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.433999999999969,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.4470000000001164,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.4529999999999745,1
10.0.0.5,58419,10.1.0.11,51230,946,64599999.99999999,0.080028,1.25,2,3.4960000000000946,1
10.0.0.5,58419,10.1.0.11,51230,1014,64400000.00000001,0.080028,1,2,3.504000000000133,1
10.0.0.5,58419,10.1.0.11,51230,1014,64400000.00000001,0.080028,1,2,3.5150000000001,1
10.0.0.5,58419,10.1.0.11,51230,1014,64400000.00000001,0.080028,1,2,3.5219999999999345,1
10.0.0.5,58419,10.1.0.11,51230,1014,64400000.00000001,0.080028,1,2,3.535000000000082,1
