rate,burst,lat,backlog,limit,delay,ip,time,id
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,77.21100000000001,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,77.22600000000011,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,77.24200000000019,3
300000000.0,14962.0,401.0,1452.0,1000,0.04,10.0.0.9,77.2650000000001,3
300000000.0,14962.0,401.0,1518.0,1000,0.04,10.0.0.9,77.2840000000001,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,77.2990000000002,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,77.31500000000005,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,77.33400000000006,3
300000000.0,14962.0,401.0,1716.0,1000,0.04,10.0.0.9,77.35400000000004,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,77.37800000000016,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,77.39700000000016,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,77.41399999999999,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,77.46000000000004,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,77.48000000000002,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,77.49800000000005,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,77.51700000000005,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,77.53600000000006,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,77.55500000000006,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,77.57400000000007,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,77.5920000000001,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,77.606,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,77.62800000000016,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,77.64900000000011,3
300000000.0,14962.0,401.0,1650.0,1000,0.04,10.0.0.9,77.66500000000019,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,77.68700000000013,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,77.70500000000015,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,77.72900000000004,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,77.74900000000002,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,77.769,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,77.79000000000019,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,77.80600000000004,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,77.8280000000002,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,77.84700000000021,3
300000000.0,14962.0,401.0,2376.0,1000,0.04,10.0.0.9,77.86200000000008,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,77.88000000000011,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,77.89800000000014,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,77.92900000000009,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,77.9530000000002,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,77.97200000000021,3
300000000.0,14962.0,401.0,2376.0,1000,0.04,10.0.0.9,77.99099999999999,3
300000000.0,14962.0,401.0,2508.0,1000,0.04,10.0.0.9,78.00600000000009,3
300000000.0,14962.0,401.0,2574.0,1000,0.04,10.0.0.9,78.03200000000015,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,78.05500000000006,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,78.07600000000002,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,78.09100000000012,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,78.106,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,78.13499999999999,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,78.15100000000007,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,78.17000000000007,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,78.19000000000005,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,78.20400000000018,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,78.22800000000007,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,78.25200000000018,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,78.27500000000009,3
300000000.0,14962.0,401.0,2244.0,1000,0.04,10.0.0.9,78.29200000000014,3
300000000.0,14962.0,401.0,2310.0,1000,0.04,10.0.0.9,78.30799999999999,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,78.33000000000015,3
300000000.0,14962.0,401.0,1254.0,1000,0.04,10.0.0.9,78.356,3
300000000.0,14962.0,401.0,1386.0,1000,0.04,10.0.0.9,78.375,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,78.39300000000003,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,78.41100000000006,3
300000000.0,14962.0,401.0,2178.0,1000,0.04,10.0.0.9,78.43700000000013,3
300000000.0,14962.0,401.0,1386.0,1000,0.04,10.0.0.9,78.45500000000015,3
300000000.0,14962.0,401.0,1584.0,1000,0.04,10.0.0.9,78.47400000000016,3
300000000.0,14962.0,401.0,1914.0,1000,0.04,10.0.0.9,78.4960000000001,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.51300000000015,3
300000000.0,14962.0,401.0,2112.0,1000,0.04,10.0.0.9,78.5300000000002,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.5630000000001,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,78.59000000000015,3
300000000.0,14962.0,401.0,1848.0,1000,0.04,10.0.0.9,78.606,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,78.62000000000012,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.63800000000015,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.65800000000013,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.67800000000011,3
300000000.0,14962.0,401.0,1980.0,1000,0.04,10.0.0.9,78.69600000000014,3
300000000.0,14962.0,401.0,2000.0,1000,0.04,10.0.0.9,78.71500000000015,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,78.73700000000008,3
300000000.0,14962.0,401.0,1782.0,1000,0.04,10.0.0.9,78.75400000000013,3
